nch18_gm_gds (ll=3.5e-07) X,nch18_gm_gds (ll=3.5e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.2900000000000001,303.5815438593954,0.2900000000000001,386.0244926933835,0.2900000000000001,486.3267592781901,0.2900000000000001,539.6634451377631,0.2900000000000001,576.6713899249639,0.2900000000000001,606.5052896750731,0.2900000000000001,631.8457549341257,0.2900000000000001,653.8106804323758,0.2900000000000001,690.1067250434764,0.2900000000000001,718.90479790184,0.2900000000000001,742.3305040381488,0.2900000000000001,761.7711113241871,0.2900000000000001,778.1718579683392,0.2900000000000001,792.1994381181306,0.2900000000000001,804.3378573393463
0.3000000000000001,302.357653876268,0.3000000000000001,384.3627993921652,0.3000000000000001,484.0793870544767,0.3000000000000001,537.0843584449528,0.3000000000000001,573.8558485570644,0.3000000000000001,603.4996917734959,0.3000000000000001,628.6835084688994,0.3000000000000001,650.5196832977239,0.3000000000000001,686.6263038601975,0.3000000000000001,715.3042346683832,0.3000000000000001,738.6588390732039,0.3000000000000001,758.062705932649,0.3000000000000001,774.4506665025226,0.3000000000000001,788.4820859869106,0.3000000000000001,800.6358065344698
0.3100000000000001,300.9924862273812,0.3100000000000001,382.5113142292177,0.3100000000000001,481.5882947787601,0.3100000000000001,534.2454307788265,0.3100000000000001,570.7799996593083,0.3100000000000001,600.2416542925585,0.3100000000000001,625.2824266434621,0.3100000000000001,647.007694946431,0.3100000000000001,682.9690035558086,0.3100000000000001,711.5770081199886,0.3100000000000001,734.9127804390226,0.3100000000000001,754.3318484527526,0.3100000000000001,770.7573041665268,0.3100000000000001,784.8404912050634,0.3100000000000001,797.0547782049164
0.3200000000000001,299.478417151063,0.3200000000000001,380.461028876786,0.3200000000000001,478.847481281304,0.3200000000000001,531.1483569166808,0.3200000000000001,567.455279862159,0.3200000000000001,596.7533795298276,0.3200000000000001,621.6759691106134,0.3200000000000001,643.3195671123544,0.3200000000000001,679.2019534293133,0.3200000000000001,707.8110236539612,0.3200000000000001,731.19910835964,0.3200000000000001,750.7022534244968,0.3200000000000001,767.2306004949087,0.3200000000000001,781.42695973919,0.3200000000000001,793.7591083088715
0.3300000000000001,297.8109520315517,0.3300000000000001,378.207534690901,0.3300000000000001,475.8586409080463,0.3300000000000001,527.8054887642087,0.3300000000000001,563.9065317670236,0.3300000000000001,593.0729525272989,0.3300000000000001,617.9156330115526,0.3300000000000001,639.5200011700704,0.3300000000000001,675.414767660334,0.3300000000000001,704.1181726792818,0.3300000000000001,727.6492196583337,0.3300000000000001,747.3222505242894,0.3300000000000001,764.0335562426494,0.3300000000000001,778.4172246356608,0.3300000000000001,790.9356190961007
0.3400000000000001,295.9898608122433,0.3400000000000001,375.752515672054,0.3400000000000001,472.6330375266054,0.3400000000000001,524.2416899563668,0.3400000000000001,560.1735313295601,0.3400000000000001,589.2552827955423,0.3400000000000001,614.0710937799231,0.3400000000000001,635.6927177372235,0.3400000000000001,671.7164301956914,0.3400000000000001,700.6287024064832,0.3400000000000001,724.4109401886969,0.3400000000000001,744.3541085747876,0.3400000000000001,761.3403070604301,0.3400000000000001,775.9952042872009,0.3400000000000001,788.7763347353994
0.3500000000000001,294.020257014348,0.3500000000000001,373.105059569505,0.3500000000000001,469.1927872393029,0.3500000000000001,520.4950462096617,0.3500000000000001,556.3107182010815,0.3500000000000001,585.3705331089139,0.3500000000000001,610.2270896369026,0.3500000000000001,631.9356286322198,0.3500000000000001,668.2267845906299,0.3500000000000001,697.4789743460111,0.3500000000000001,721.6327136484392,0.3500000000000001,741.9549157664537,0.3500000000000001,759.3139904472039,0.3500000000000001,774.3281507705914,0.3500000000000001,787.4511879872395
0.3600000000000002,291.9133923361275,0.3600000000000002,370.2824263937662,0.3600000000000002,465.5709134520126,0.3600000000000002,516.6155430352983,0.3600000000000002,552.3840247839238,0.3600000000000002,581.4987638545102,0.3600000000000002,606.4756683001233,0.3600000000000002,628.3505795362277,0.3600000000000002,665.0612627106489,0.3600000000000002,694.7914882819218,0.3600000000000002,719.4394064845351,0.3600000000000002,740.2486906506148,0.3600000000000002,758.0756618634416,0.3600000000000002,773.532817690093,0.3600000000000002,787.0718273764039
0.3700000000000002,289.6868502194556,0.3700000000000002,367.3097955452723,0.3700000000000002,461.8094044764657,0.3700000000000002,512.6607369104835,0.3700000000000002,548.4637218024127,0.3700000000000002,577.719704094781,0.3700000000000002,602.9028006947977,0.3700000000000002,625.0268526840374,0.3700000000000002,662.3086256223672,0.3700000000000002,692.647715548309,0.3700000000000002,717.901131059651,0.3700000000000002,739.2920051267301,0.3700000000000002,757.6674001536968,0.3700000000000002,773.6366039784534,0.3700000000000002,787.6512442268249
0.3800000000000002,287.3637611811029,0.3800000000000002,364.2184540748377,0.3800000000000002,457.9545240943615,0.3800000000000002,508.6876368527751,0.3800000000000002,544.6126357375848,0.3800000000000002,574.0973014887053,0.3800000000000002,599.569445547441,0.3800000000000002,622.0190501529653,0.3800000000000002,660.0036056407527,0.3800000000000002,691.0569984425803,0.3800000000000002,716.9996845731608,0.3800000000000002,739.0389644685679,0.3800000000000002,758.016574689977,0.3800000000000002,774.5416480063494,0.3800000000000002,789.0680762726822
