pch18_gm_gds (ll=3.5e-07) X,pch18_gm_gds (ll=3.5e-07) Y,pch18_gm_gds (ll=4e-07) X,pch18_gm_gds (ll=4e-07) Y,pch18_gm_gds (ll=5e-07) X,pch18_gm_gds (ll=5e-07) Y,pch18_gm_gds (ll=6e-07) X,pch18_gm_gds (ll=6e-07) Y,pch18_gm_gds (ll=7e-07) X,pch18_gm_gds (ll=7e-07) Y,pch18_gm_gds (ll=8e-07) X,pch18_gm_gds (ll=8e-07) Y,pch18_gm_gds (ll=9e-07) X,pch18_gm_gds (ll=9e-07) Y,pch18_gm_gds (ll=1e-06) X,pch18_gm_gds (ll=1e-06) Y,pch18_gm_gds (ll=1.2e-06) X,pch18_gm_gds (ll=1.2e-06) Y,pch18_gm_gds (ll=1.4e-06) X,pch18_gm_gds (ll=1.4e-06) Y,pch18_gm_gds (ll=1.6e-06) X,pch18_gm_gds (ll=1.6e-06) Y,pch18_gm_gds (ll=1.8e-06) X,pch18_gm_gds (ll=1.8e-06) Y,pch18_gm_gds (ll=2e-06) X,pch18_gm_gds (ll=2e-06) Y,pch18_gm_gds (ll=2.2e-06) X,pch18_gm_gds (ll=2.2e-06) Y,pch18_gm_gds (ll=2.4e-06) X,pch18_gm_gds (ll=2.4e-06) Y
0.3800000000000002,212.1658562425103,0.3800000000000002,270.1328133079356,0.3800000000000002,340.7934558307638,0.3800000000000002,377.2386983645456,0.3800000000000002,401.2043884009947,0.3800000000000002,419.6032206907119,0.3800000000000002,434.6245922441854,0.3800000000000002,447.2264494530201,0.3800000000000002,467.2549495308048,0.3800000000000002,482.481047161063,0.3800000000000002,494.4539045681006,0.3800000000000002,504.1181707231019,0.3800000000000002,512.0840784458514,0.3800000000000002,518.7637766518639,0.3800000000000002,524.4458287717936
0.3900000000000002,210.3486465296023,0.3900000000000002,267.8182087704825,0.3900000000000002,338.1059977922919,0.3900000000000002,374.6667707831343,0.3900000000000002,398.8813759064314,0.3900000000000002,417.5525686378498,0.3900000000000002,432.8406727485971,0.3900000000000002,445.6950060997473,0.3900000000000002,466.1776796519012,0.3900000000000002,481.79255713037,0.3900000000000002,494.0976663590268,0.3900000000000002,504.0472340207971,0.3900000000000002,512.2598329140241,0.3900000000000002,519.1544356883065,0.3900000000000002,525.0250788212153
0.4000000000000002,208.5286357786757,0.4000000000000002,265.4845199725225,0.4000000000000002,335.3886302119299,0.4000000000000002,372.0760181844006,0.4000000000000002,396.5539850654654,0.4000000000000002,415.5108250509568,0.4000000000000002,431.0775270204535,0.4000000000000002,444.1950782079239,0.4000000000000002,465.1509355405819,0.4000000000000002,481.1711181621507,0.4000000000000002,493.8230519221923,0.4000000000000002,504.0708714509762,0.4000000000000002,512.5417339871743,0.4000000000000002,519.6616317688361,0.4000000000000002,525.7302361640011
0.4100000000000002,206.6934806058591,0.4100000000000002,263.1030739450562,0.4100000000000002,332.5827470490913,0.4100000000000002,369.3851175317056,0.4100000000000002,394.1233636962397,0.4100000000000002,413.3652470577261,0.4100000000000002,429.2112401089542,0.4100000000000002,442.5936638487075,0.4100000000000002,464.028041418534,0.4100000000000002,480.4604451508434,0.4100000000000002,493.4667770653504,0.4100000000000002,504.0205427035283,0.4100000000000002,512.7571905942723,0.4100000000000002,520.1095824599344,0.4100000000000002,526.382956141996
0.4200000000000002,204.8193777374122,0.4200000000000002,260.630581591613,0.4200000000000002,329.6132470359625,0.4200000000000002,366.4972511727491,0.4200000000000002,391.4772195646914,0.4200000000000002,410.9920348540175,0.4200000000000002,427.1092379088941,0.4200000000000002,440.7513803439205,0.4200000000000002,462.6599761389506,0.4200000000000002,479.5052473083619,0.4200000000000002,492.8693031204428,0.4200000000000002,503.7337344275219,0.4200000000000002,512.7415494521932,0.4200000000000002,520.3320605811705,0.4200000000000002,526.8158325384329
0.4300000000000002,202.8731806215463,0.4300000000000002,258.0140205071405,0.4300000000000002,326.3986601114625,0.4300000000000002,363.3139941492194,0.4300000000000002,388.5063555087401,0.4300000000000002,408.274773807378,0.4300000000000002,424.6501247550961,0.4300000000000002,438.5433360188195,0.4300000000000002,460.9176077587303,0.4300000000000002,478.1742592311648,0.4300000000000002,491.898348515545,0.4300000000000002,503.0777678353087,0.4300000000000002,512.36208681174,0.4300000000000002,520.1965000754286,0.4300000000000002,526.8965726510021
0.4400000000000002,200.8168773533157,0.4400000000000002,255.1984618389186,0.4400000000000002,322.8641040408874,0.4400000000000002,359.7511449203348,0.4400000000000002,385.1220951029951,0.4400000000000002,405.1227474764275,0.4400000000000002,421.7424668109129,0.4400000000000002,435.8781295647483,0.4400000000000002,458.7107124641851,0.4400000000000002,476.379025750343,0.4400000000000002,490.4673517768835,0.4400000000000002,501.9679213566504,0.4400000000000002,511.5358012517812,0.4400000000000002,519.621480822929,0.4400000000000002,526.5451995109929
0.4500000000000002,198.6137509444132,0.4500000000000002,252.1363920431214,0.4500000000000002,318.9542789145348,0.4500000000000002,355.7529111782403,0.4500000000000002,381.2705810062437,0.4500000000000002,401.484887619887,0.4500000000000002,418.3381973775506,0.4500000000000002,432.7106382872001,0.4500000000000002,455.999524057829,0.4500000000000002,474.0843331466413,0.4500000000000002,488.5449376565268,0.4500000000000002,500.3760734723198,0.4500000000000002,510.2373539996615,0.4500000000000002,518.5840666123896,0.4500000000000002,525.7408700073588
0.4600000000000002,196.2349478994302,0.4600000000000002,248.7964490688846,0.4600000000000002,314.6434395046687,0.4600000000000002,351.3011195947711,0.4600000000000002,376.9406682732487,0.4600000000000002,397.3562709571852,0.4600000000000002,414.437791541257,0.4600000000000002,429.0459918979307,0.4600000000000002,452.7966824089567,0.4600000000000002,471.3085611527791,0.4600000000000002,486.1540002202282,0.4600000000000002,498.3287623021497,0.4600000000000002,508.4962901344301,0.4600000000000002,517.1163295731529,0.4600000000000002,524.5178126051975
0.4700000000000003,193.6649389119165,0.4700000000000003,245.1695012313184,0.4700000000000003,309.940028102916,0.4700000000000003,346.4174777582483,0.4700000000000003,372.1639335820217,0.4700000000000003,392.7761760035037,0.4700000000000003,410.0866718327399,0.4700000000000003,424.9345883450406,0.4700000000000003,449.1600788561147,0.4700000000000003,468.1149385617123,0.4700000000000003,483.3617580260781,0.4700000000000003,495.8963088483391,0.4700000000000003,506.385420793601,0.4700000000000003,515.2931309845022,0.4700000000000003,522.9526115068928
