nch18_Vdsat (ll=3.5e-07) X,nch18_Vdsat (ll=3.5e-07) Y,nch18_Vdsat (ll=4e-07) X,nch18_Vdsat (ll=4e-07) Y,nch18_Vdsat (ll=5e-07) X,nch18_Vdsat (ll=5e-07) Y,nch18_Vdsat (ll=6e-07) X,nch18_Vdsat (ll=6e-07) Y,nch18_Vdsat (ll=7e-07) X,nch18_Vdsat (ll=7e-07) Y,nch18_Vdsat (ll=8e-07) X,nch18_Vdsat (ll=8e-07) Y,nch18_Vdsat (ll=9e-07) X,nch18_Vdsat (ll=9e-07) Y,nch18_Vdsat (ll=1e-06) X,nch18_Vdsat (ll=1e-06) Y,nch18_Vdsat (ll=1.2e-06) X,nch18_Vdsat (ll=1.2e-06) Y,nch18_Vdsat (ll=1.4e-06) X,nch18_Vdsat (ll=1.4e-06) Y,nch18_Vdsat (ll=1.6e-06) X,nch18_Vdsat (ll=1.6e-06) Y,nch18_Vdsat (ll=1.8e-06) X,nch18_Vdsat (ll=1.8e-06) Y,nch18_Vdsat (ll=2e-06) X,nch18_Vdsat (ll=2e-06) Y,nch18_Vdsat (ll=2.2e-06) X,nch18_Vdsat (ll=2.2e-06) Y,nch18_Vdsat (ll=2.4e-06) X,nch18_Vdsat (ll=2.4e-06) Y
0.09999999999999999,0.0486580573057591,0.09999999999999999,0.04777334125784041,0.09999999999999999,0.04633621353818335,0.09999999999999999,0.04523208744384957,0.09999999999999999,0.04436281216460472,0.09999999999999999,0.04366272254805301,0.09999999999999999,0.04308769738258189,0.09999999999999999,0.04260739981581021,0.09999999999999999,0.04185129411923896,0.09999999999999999,0.04128359786873843,0.09999999999999999,0.04084191521665788,0.09999999999999999,0.04048856484847495,0.09999999999999999,0.04019948957278723,0.09999999999999999,0.0399586253113054,0.09999999999999999,0.03975484253033143
0.11,0.04865824943369168,0.11,0.04777354105522583,0.11,0.04633643787787578,0.11,0.04523234158885939,0.11,0.04436309795634538,0.11,0.04366304032369941,0.11,0.04308804669787458,0.11,0.04260777979272689,0.11,0.04185173194053755,0.11,0.04128408840584899,0.11,0.04084245338516852,0.11,0.04048914592459737,0.11,0.04020010929673778,0.11,0.03995927989710838,0.11,0.03975552863586833
0.12,0.04865850784197565,0.12,0.04777381018571005,0.12,0.04633674072327787,0.12,0.04523268517685555,0.12,0.04436348474159685,0.12,0.04366347074211181,0.12,0.04308852013315178,0.12,0.04260829504314202,0.12,0.04185232607393125,0.12,0.04128475442988326,0.12,0.04084318436919498,0.12,0.04048993542936636,0.12,0.04020095151509376,0.12,0.03996016966734548,0.12,0.03975646140110189
0.13,0.04865885531288415,0.13,0.04777417262107379,0.13,0.0463371494432557,0.13,0.04523314956300475,0.13,0.04436400806474064,0.13,0.04366405356424805,0.13,0.04308916159980731,0.13,0.04260899350989757,0.13,0.04185313206423079,0.13,0.04128565841295765,0.13,0.04084417690078752,0.13,0.04049100773496699,0.13,0.04020209568111605,0.13,0.03996137865939066,0.13,0.03975772900866371
0.14,0.04865932241979828,0.14,0.04777466057899708,0.14,0.04633770089772242,0.14,0.04523377703379264,0.14,0.04436471590791609,0.14,0.04366484250189303,0.14,0.04309003044762449,0.14,0.04260994001809804,0.14,0.04185422505916709,0.14,0.04128688490760764,0.14,0.04084552403007537,0.14,0.04049246354682633,0.14,0.04020364939610598,0.14,0.03996302069538338,0.14,0.03975945090558367
0.15,0.04865995017146108,0.15,0.04777531733795775,0.15,0.04633844470301685,0.15,0.04523462458646043,0.15,0.04436567300546457,0.15,0.04366591006801747,0.15,0.04309120684114968,0.15,0.04261122216130375,0.15,0.0418557066548095,0.15,0.04128854826419118,0.15,0.04084735162908925,0.15,0.04049443911491207,0.15,0.04020575825703895,0.15,0.03996524980325963,0.15,0.03976178874220898
0.16,0.04866079354296586,0.16,0.04777620100153151,0.16,0.04633944760670537,0.16,0.04523576899794094,0.16,0.0443669666341417,0.16,0.04366735408878995,0.16,0.0430927989795578,0.16,0.04261295820716857,0.16,0.04185771409023284,0.16,0.04129080299629247,0.16,0.04084982981220978,0.16,0.04049711860243028,0.16,0.04020861907782326,0.16,0.03996827420575898,0.16,0.03976496105433342
0.17,0.0486619261848998,0.17,0.04777738952587492,0.17,0.04634079934085887,0.17,0.04523731361353845,0.17,0.04436871437206207,0.17,0.04366930643239791,0.17,0.04309495277573155,0.17,0.04261530769627047,0.17,0.04186043257363533,0.17,0.04129385767368292,0.17,0.04085318823964658,0.17,0.0405007506560643,0.17,0.04021249759741518,0.17,0.03997237505253446,0.17,0.03976926291918825
0.18,0.04866344669449469,0.18,0.0477789874242634,0.18,0.04634262044103576,0.18,0.04523939742337291,0.18,0.04437107447694238,0.18,0.04367194468674176,0.18,0.04309786480574818,0.18,0.04261848562141327,0.18,0.04186411176810632,0.18,0.04129799349717456,0.18,0.04085773657051677,0.18,0.04050567054374828,0.18,0.04021775212947241,0.18,0.03997793142911477,0.18,0.03977509218986233
0.19,0.04866548695242275,0.19,0.04778113469234786,0.19,0.04634507267165647,0.19,0.04524220717327937,0.19,0.04437425973814789,0.19,0.04367550774668491,0.19,0.04310179959205238,0.19,0.04262278134873556,0.19,0.04186908777972905,0.19,0.04130358905932908,0.19,0.04086389171211464,0.19,0.04051232963300003,0.19,0.04022486503842341,0.19,0.03998545362707332,0.19,0.03978298438119195
0.2,0.04866822318291142,0.2,0.04778401866495884,0.2,0.04634837289572417,0.2,0.04524599348618989,0.2,0.04437855591812411,0.2,0.04368031656313375,0.2,0.04310711260411,0.2,0.04262858378971113,0.2,0.04187581238707822,0.2,0.04131115323323373,0.2,0.04087221398618247,0.2,0.04052133448737367,0.2,0.04023448445772403,0.2,0.03999562721344849,0.2,0.03979365885388818
0.21,0.04867189059118452,0.21,0.04778788972839819,0.21,0.04635281147826642,0.21,0.04525109226116449,0.21,0.04438434622887594,0.21,0.04368680167326952,0.21,0.04311428076212632,0.21,0.04263641476688169,0.21,0.04188489174163738,0.21,0.04132136866928161,0.21,0.04088345491019243,0.21,0.0405334984692033,0.21,0.04024747930483289,0.21,0.04000937109996334,0.21,0.03980807962627178
0.2200000000000001,0.04867680267943283,0.2200000000000001,0.04779308208074498,0.2200000000000001,0.04635877662867941,0.2200000000000001,0.04525795298138547,0.2200000000000001,0.04439214369976403,0.2200000000000001,0.04369553958534194,0.2200000000000001,0.04312394272305707,0.2200000000000001,0.04264697304604537,0.2200000000000001,0.04189713736019177,0.2200000000000001,0.04133514902134634,0.2200000000000001,0.04089861997306628,0.2200000000000001,0.04054990945016426,0.2200000000000001,0.0402650113862436,0.2200000000000001,0.04002791357214108,0.2200000000000001,0.03982753491935293
