nch18_Cdd_Cgg (ll=2e-07) X,nch18_Cdd_Cgg (ll=2e-07) Y,nch18_Cdd_Cgg (ll=3e-07) X,nch18_Cdd_Cgg (ll=3e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0.09999999999999999,0.3255917380931193,0.09999999999999999,0.2682947486620959,0.09999999999999999,0.228131768452996,0.09999999999999999,0.1984215363091146,0.09999999999999999,0.1756061409131986,0.09999999999999999,0.1574930095257097,0.09999999999999999,0.1427647008785591,0.09999999999999999,0.1305538671687504,0.09999999999999999,0.12026612641667,0.09999999999999999,0.1038905352669963,0.09999999999999999,0.09142993407681291,0.09999999999999999,0.08163690078857481,0.09999999999999999,0.07373781479412145,0.09999999999999999,0.06723181092812804,0.09999999999999999,0.06178031131442088,0.09999999999999999,0.05714622316472588
0.11,0.3260798627590754,0.11,0.2689168977984622,0.11,0.2287884000726951,0.11,0.1990740257755552,0.11,0.1762371677614334,0.11,0.1580970100147593,0.11,0.1433402069736371,0.11,0.1311013139862565,0.11,0.1207868111813332,0.11,0.1043627330720582,0.11,0.09185939591978083,0.11,0.08202976228533844,0.11,0.07409923915492805,0.11,0.06756607734185216,0.11,0.06209095859167312,0.11,0.05743618785153479
0.12,0.326569266829807,0.12,0.2695347855532532,0.12,0.229438616120613,0.12,0.1997192818067721,0.12,0.1768607158135394,0.12,0.1586934956626821,0.12,0.1439082621055975,0.12,0.1316414218670234,0.12,0.1213002914092949,0.12,0.1048280154768814,0.12,0.09228190191735977,0.12,0.08241562779982552,0.12,0.07445364736551073,0.12,0.06789333175640608,0.12,0.06239462092578798,0.12,0.05771921422937427
0.13,0.3270596341104515,0.13,0.2701482015949652,0.13,0.2300821619140146,0.13,0.2003569673767031,0.13,0.1774762985476717,0.13,0.1592818425312581,0.13,0.1444681220028665,0.13,0.1321733435499402,0.13,0.1218056327850699,0.13,0.1052853143007168,0.13,0.09269615188685582,0.13,0.0827930251359712,0.13,0.07479944186625716,0.13,0.06821188699785556,0.13,0.06268954882569049,0.13,0.05799351134759292
0.14,0.3275505293335289,0.14,0.2707567811750639,0.14,0.2307185758818522,0.14,0.2009864918549747,0.14,0.1780831151274009,0.14,0.1598610622840919,0.14,0.1450186372032236,0.14,0.1326957936495784,0.14,0.1223014364832425,0.14,0.1057330594035935,0.14,0.09310028623828459,0.14,0.08315988468536016,0.14,0.07513440374395128,0.14,0.06851942074494091,0.14,0.06297335118389991,0.14,0.05825664545976487
0.15,0.3280413664197965,0.15,0.2713599526957822,0.15,0.2313471148472166,0.15,0.2016069177349138,0.15,0.1786799365877143,0.15,0.1604296718742282,0.15,0.1455581097526055,0.15,0.1332068952801509,0.15,0.122785678091486,0.15,0.1061690075918302,0.15,0.09349170381101971,0.15,0.0835133519213484,0.15,0.07545550368935985,0.15,0.06881278745337081,0.15,0.0632428097940754,0.15,0.05850535817003755
0.16,0.328531362887395,0.16,0.2719568660730685,0.16,0.2319666534165546,0.16,0.2022168358361175,0.16,0.1792649546533503,0.16,0.1609855215395091,0.16,0.1460841051260553,0.16,0.1337039797878499,0.16,0.1232554982785671,0.16,0.1065900221324342,0.16,0.09386683076001234,0.16,0.08384955271615488,0.16,0.07575866823488714,0.16,0.06908778832191083,0.16,0.06349365475604891,0.16,0.05873534826997166
0.17,0.3290194761447962,0.17,0.2725462957490455,0.17,0.2325755493328106,0.17,0.20281419941318,0.17,0.179835582567505,0.17,0.1615255699706623,0.17,0.1465932081037876,0.17,0.1341833284566687,0.17,0.1237069343844818,0.17,0.106991792993082,0.17,0.09422083270023805,0.17,0.08416330581771776,0.17,0.07603849762053719,0.17,0.06933889747844367,0.17,0.06372030057517485,0.17,0.05894101850280768
0.18,0.3295043161209255,0.18,0.2731265105165108,0.18,0.2331714646896751,0.18,0.203396105578729,0.18,0.1803881954947821,0.18,0.1620455940487716,0.18,0.1470807102927394,0.18,0.1346398444759217,0.18,0.1241345820116941,0.18,0.107368488758307,0.18,0.09454726456288334,0.18,0.08444778027738058,0.18,0.07628793609023464,0.18,0.06955894782411434,0.18,0.0639155486605416,0.18,0.05911519488549361
0.19,0.3299840271888512,0.19,0.2736951004211947,0.19,0.2337511308483148,0.19,0.2039585105103341,0.19,0.1809177966549388,0.19,0.1625398198401368,0.19,0.1475402170569149,0.19,0.135066644338181,0.19,0.1245311773740545,0.19,0.1077123343334196,0.19,0.09483765781310925,0.19,0.08469410246285865,0.19,0.07649790354589456,0.19,0.0697387890659599,0.19,0.06407027172552267,0.19,0.05924883651443104
