nch18_ft  (ll=2e-07) X,nch18_ft  (ll=2e-07) Y,nch18_ft  (ll=3e-07) X,nch18_ft  (ll=3e-07) Y,nch18_ft  (ll=4e-07) X,nch18_ft  (ll=4e-07) Y,nch18_ft  (ll=5e-07) X,nch18_ft  (ll=5e-07) Y,nch18_ft  (ll=6e-07) X,nch18_ft  (ll=6e-07) Y,nch18_ft  (ll=7e-07) X,nch18_ft  (ll=7e-07) Y,nch18_ft  (ll=8e-07) X,nch18_ft  (ll=8e-07) Y,nch18_ft  (ll=9e-07) X,nch18_ft  (ll=9e-07) Y,nch18_ft  (ll=1e-06) X,nch18_ft  (ll=1e-06) Y,nch18_ft  (ll=1.2e-06) X,nch18_ft  (ll=1.2e-06) Y,nch18_ft  (ll=1.4e-06) X,nch18_ft  (ll=1.4e-06) Y,nch18_ft  (ll=1.6e-06) X,nch18_ft  (ll=1.6e-06) Y,nch18_ft  (ll=1.8e-06) X,nch18_ft  (ll=1.8e-06) Y,nch18_ft  (ll=2e-06) X,nch18_ft  (ll=2e-06) Y,nch18_ft  (ll=2.2e-06) X,nch18_ft  (ll=2.2e-06) Y,nch18_ft  (ll=2.4e-06) X,nch18_ft  (ll=2.4e-06) Y
0.09999999999999999,-1302138.381316394,0.09999999999999999,-773468.7170155585,0.09999999999999999,-659391.5676544871,0.09999999999999999,-600589.911800115,0.09999999999999999,-595940.2510285185,0.09999999999999999,-586669.5261837154,0.09999999999999999,-574857.4916342153,0.09999999999999999,-561678.7359574346,0.09999999999999999,-547819.6716438293,0.09999999999999999,-519564.0320835662,0.09999999999999999,-495671.4534405818,0.09999999999999999,-470871.8195904199,0.09999999999999999,-446485.8855051068,0.09999999999999999,-423107.8518266415,0.09999999999999999,-400989.741608526,0.09999999999999999,-380213.4731652089
0.11,-1724795.408317271,0.11,-1022120.618375825,0.11,-870181.5632190261,0.11,-791783.9924124766,0.11,-783707.5807040337,0.11,-770090.1386888627,0.11,-753474.0255503581,0.11,-735296.0640914965,0.11,-716393.2439246983,0.11,-678233.3736468715,0.11,-644070.2960844121,0.11,-609661.0442940205,0.11,-576401.320916562,0.11,-544871.1811676843,0.11,-515276.7520388258,0.11,-487644.3307587774
0.12,-2283954.066075082,0.12,-1350241.516113858,0.12,-1147891.514958489,0.12,-1043364.372265144,0.12,-1030104.722772863,0.12,-1010280.071761184,0.12,-986972.7955830805,0.12,-961927.033301282,0.12,-936155.2477443565,0.12,-884617.6214613466,0.12,-836094.9633640413,0.12,-788491.486488107,0.12,-743190.2913457061,0.12,-700690.2481542355,0.12,-661099.395030454,0.12,-624346.8249252747
0.13,-3023362.87840159,0.13,-1783009.28453595,0.13,-1513549.091179215,0.13,-1374178.015257665,0.13,-1353185.410015902,0.13,-1324530.025027935,0.13,-1291912.379124225,0.13,-1257430.516599844,0.13,-1222297.648422333,0.13,-1152670.833340546,0.13,-1084125.199281812,0.13,-1018419.645060732,0.13,-956775.6080679776,0.13,-899504.2242193981,0.13,-846535.8568155429,0.13,-797640.650900878
0.14,-4000621.287163857,0.14,-2353468.327175294,0.14,-1994678.59362426,0.14,-1808836.964826987,0.14,-1776427.149984855,0.14,-1735243.277558441,0.14,-1689675.23442109,0.14,-1642219.503925384,0.14,-1594313.538492966,0.14,-1500186.721568616,0.14,-1403775.337358822,0.14,-1313241.324120257,0.14,-1229404.974441858,0.14,-1152225.966957231,0.14,-1081338.056750071,0.14,-1016261.801922263
0.15,-5291475.786583841,0.15,-3104928.936544635,0.15,-2627247.698045994,0.15,-2379415.658906485,0.15,-2330281.659989004,0.15,-2271355.13951973,0.15,-2207767.339725137,0.15,-2142449.884952083,0.15,-2077082.782735829,0.15,-1949698.240381738,0.15,-1814557.509594634,0.15,-1689966.020621683,0.15,-1575972.401542732,0.15,-1471938.974697805,0.15,-1377027.430442204,0.15,-1290376.443328144
0.16,-6995400.588122866,0.16,-4094066.071440739,0.16,-3458162.606534878,0.16,-3127608.221598879,0.16,-3054119.595024452,0.16,-2970087.991282974,0.16,-2881399.720713982,0.16,-2791441.580052291,0.16,-2702144.205493801,0.16,-2529482.371478262,0.16,-2340558.726231559,0.16,-2169236.649062904,0.16,-2014234.377761309,0.16,-1873952.95024638,0.16,-1746824.788578009,0.16,-1631413.58123207
0.17,-9242820.244970251,0.17,-5394902.648665189,0.17,-4548444.854689969,0.17,-4107445.237624757,0.17,-3998637.978737709,0.17,-3879082.253728158,0.17,-3755366.623158527,0.17,-3631323.50044494,0.17,-3509124.776842776,0.17,-3274605.09592828,0.17,-3011037.587156463,0.17,-2775583.888244254,0.17,-2564803.547029642,0.17,-2375601.697331144,0.17,-2205304.336472238,0.17,-2051616.613936266
0.18,-12204415.79733638,0.18,-7103899.982470086,0.18,-5977241.68181332,0.18,-5388674.017289862,0.18,-5228788.057384569,0.18,-5058919.44692468,0.18,-4886199.102420555,0.18,-4714847.78354026,0.18,-4547241.940170298,0.18,-4227875.839424809,0.18,-3860780.522438139,0.18,-3537345.700503403,0.18,-3250755.773848816,0.18,-2995634.577938954,0.18,-2767644.619992208,0.18,-2563211.264905892
0.19,-16103050.60968565,0.19,-9346415.59107176,0.19,-7846833.202313483,0.19,-7060897.2459466,0.19,-6827250.085043935,0.19,-6586003.312412762,0.19,-6344506.89699613,0.19,-6107240.45718593,0.19,-5876707.853308611,0.19,-5440484.456961143,0.19,-4929973.551900507,0.19,-4486020.673532259,0.19,-4096651.189953689,0.19,-3753044.767532611,0.19,-3448366.457930376,0.19,-3177126.392679629
