pch18_Vdsat (ll=2e-07) X,pch18_Vdsat (ll=2e-07) Y,pch18_Vdsat (ll=3e-07) X,pch18_Vdsat (ll=3e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0.09999999999999999,-0.0426627802893263,0.09999999999999999,-0.04176654413850425,0.09999999999999999,-0.04116434433458283,0.09999999999999999,-0.04075570044288448,0.09999999999999999,-0.03997893506664528,0.09999999999999999,-0.03941119221370563,0.09999999999999999,-0.03897932459310809,0.09999999999999999,-0.03864017336608766,0.09999999999999999,-0.03836693672282347,0.09999999999999999,-0.03795407002147142,0.09999999999999999,-0.03814411911408003,0.09999999999999999,-0.03828929000288946,0.09999999999999999,-0.03840380214656501,0.09999999999999999,-0.03849643991855511,0.09999999999999999,-0.03857292388535743,0.09999999999999999,-0.03863713973748436
0.11,-0.04266312300648425,0.11,-0.04176699628379821,0.11,-0.04116488964924066,0.11,-0.04075631154701619,0.11,-0.03997966785121856,0.11,-0.03941202176746989,0.11,-0.03898023276692886,0.11,-0.03864114668606149,0.11,-0.03836796495296782,0.11,-0.037955185874542,0.11,-0.03814532723930895,0.11,-0.03829057253263647,0.11,-0.03840514598135601,0.11,-0.0384978351666158,0.11,-0.03857436288986572,0.11,-0.03863861644672229
0.12,-0.04266357603501625,0.12,-0.0417676022419173,0.12,-0.04116562441742668,0.12,-0.04075713732661598,0.12,-0.03998065671072988,0.12,-0.03941314017585232,0.12,-0.03898145634759924,0.12,-0.03864245736742259,0.12,-0.03836934901994363,0.12,-0.03795668699749877,0.12,-0.038146951960604,0.12,-0.03829229689344396,0.12,-0.03840695242399417,0.12,-0.03849971043693204,0.12,-0.03857629673090496,0.12,-0.03864060075312299
0.13,-0.04266417468004718,0.13,-0.04176841402038808,0.13,-0.04116661403767689,0.13,-0.04075825269459597,0.13,-0.03998199050072393,0.13,-0.03941464727907269,0.13,-0.03898310404252572,0.13,-0.0386442214310541,0.13,-0.03837121108758778,0.13,-0.03795870532099409,0.13,-0.03814913572418231,0.13,-0.03829461399171979,0.13,-0.03840937933979244,0.13,-0.03850222942324556,0.13,-0.03857889405732825,0.13,-0.03864326557176798
0.14,-0.0426649654622871,0.14,-0.04176950106746741,0.14,-0.0411679462844948,0.14,-0.04075975846333869,0.14,-0.0399837886018499,0.14,-0.03941667706476304,0.14,-0.03898532161816074,0.14,-0.03864659435081091,0.14,-0.03837371477866851,0.14,-0.03796141741571537,0.14,-0.03815206908602337,0.14,-0.03829772563025471,0.14,-0.03841263777955749,0.14,-0.03850561091996556,0.14,-0.03858238024569877,0.14,-0.03864684194508362
0.15,-0.04266600964374236,0.15,-0.04177095605108447,0.15,-0.04116973886386711,0.15,-0.04076179017427917,0.15,-0.03998621124783643,0.15,-0.03941940915992081,0.15,-0.03898830432216659,0.15,-0.03864978423716266,0.15,-0.03837707899447636,0.15,-0.03796505931667827,0.15,-0.03815600664927431,0.15,-0.03830190133734872,0.15,-0.03841700953972516,0.15,-0.03851014699296818,0.15,-0.03858705608885201,0.15,-0.03865163817671726
0.16,-0.04266738784422723,0.16,-0.04177290251681057,0.16,-0.04117214946662191,0.16,-0.04076452987015741,0.16,-0.03998947326173609,0.16,-0.03942308408852759,0.16,-0.03899231335434738,0.16,-0.03865406929982652,0.16,-0.03838159620455942,0.16,-0.03796994611798936,0.16,-0.03816128811187234,0.16,-0.03830750057703323,0.16,-0.03842287032485788,0.16,-0.03851622693710779,0.16,-0.03859332242758942,0.16,-0.03865806504209636
0.17,-0.04266920607744872,0.17,-0.04177550501658821,0.17,-0.04117538911574013,0.17,-0.04076822175233599,0.17,-0.03999386227657589,0.17,-0.03942802347142921,0.17,-0.03899769764119544,0.17,-0.03865982090699129,0.17,-0.03838765657589045,0.17,-0.03797649778726723,0.17,-0.03816836596744518,0.17,-0.03831500195776533,0.17,-0.03843072019037197,0.17,-0.03852436874812704,0.17,-0.03860171249469911,0.17,-0.03866666888137896
0.18,-0.04267160363002865,0.18,-0.0417789824756094,0.18,-0.04117973984045615,0.18,-0.04077319294521472,0.18,-0.03999976282787004,0.18,-0.03943465667901969,0.18,-0.03900492251988723,0.18,-0.03866753392288587,0.18,-0.03839577968529125,0.18,-0.03798527303944316,0.18,-0.03817784181341807,0.18,-0.03832504148336509,0.18,-0.03844122338155755,0.18,-0.03853526028531229,0.18,-0.03861293419824156,0.18,-0.03867817484416031
0.19,-0.04267476332621575,0.19,-0.041783625786229,0.19,-0.04118557800688622,0.19,-0.04077988093869854,0.19,-0.04000768808993552,0.19,-0.03944355585641016,0.19,-0.03901460736431708,0.19,-0.03867786644580129,0.19,-0.03840665600981583,0.19,-0.03799701357563263,0.19,-0.03819051370713241,0.19,-0.03833846239284144,0.19,-0.03845526020093496,0.19,-0.03854981282662055,0.19,-0.03862792510451643,0.19,-0.03869354309663446
