nch18_Vgs_Vth  (ll=2e-07) X,nch18_Vgs_Vth  (ll=2e-07) Y,nch18_Vgs_Vth  (ll=3e-07) X,nch18_Vgs_Vth  (ll=3e-07) Y,nch18_Vgs_Vth  (ll=4e-07) X,nch18_Vgs_Vth  (ll=4e-07) Y,nch18_Vgs_Vth  (ll=5e-07) X,nch18_Vgs_Vth  (ll=5e-07) Y,nch18_Vgs_Vth  (ll=6e-07) X,nch18_Vgs_Vth  (ll=6e-07) Y,nch18_Vgs_Vth  (ll=7e-07) X,nch18_Vgs_Vth  (ll=7e-07) Y,nch18_Vgs_Vth  (ll=8e-07) X,nch18_Vgs_Vth  (ll=8e-07) Y,nch18_Vgs_Vth  (ll=9e-07) X,nch18_Vgs_Vth  (ll=9e-07) Y,nch18_Vgs_Vth  (ll=1e-06) X,nch18_Vgs_Vth  (ll=1e-06) Y,nch18_Vgs_Vth  (ll=1.2e-06) X,nch18_Vgs_Vth  (ll=1.2e-06) Y,nch18_Vgs_Vth  (ll=1.4e-06) X,nch18_Vgs_Vth  (ll=1.4e-06) Y,nch18_Vgs_Vth  (ll=1.6e-06) X,nch18_Vgs_Vth  (ll=1.6e-06) Y,nch18_Vgs_Vth  (ll=1.8e-06) X,nch18_Vgs_Vth  (ll=1.8e-06) Y,nch18_Vgs_Vth  (ll=2e-06) X,nch18_Vgs_Vth  (ll=2e-06) Y,nch18_Vgs_Vth  (ll=2.2e-06) X,nch18_Vgs_Vth  (ll=2.2e-06) Y,nch18_Vgs_Vth  (ll=2.4e-06) X,nch18_Vgs_Vth  (ll=2.4e-06) Y
0.09999999999999999,-0.443753095840088,0.09999999999999999,-0.4381138671475064,0.09999999999999999,-0.4288379614725395,0.09999999999999999,-0.421348019602481,0.09999999999999999,-0.4144140276565282,0.09999999999999999,-0.4088099340796594,0.09999999999999999,-0.404154163278961,0.09999999999999999,-0.400202456646092,0.09999999999999999,-0.3967913803333187,0.09999999999999999,-0.3911669337095931,0.09999999999999999,-0.3867458267384524,0.09999999999999999,-0.3830495180741199,0.09999999999999999,-0.37990852776338,0.09999999999999999,-0.3772028788360962,0.09999999999999999,-0.3748453446688087,0.09999999999999999,-0.3727709453109457
0.11,-0.4337530968216036,0.11,-0.4281138677186942,0.11,-0.4188379619603038,0.11,-0.4113480200490306,0.11,-0.4044140281035399,0.11,-0.3988099345238323,0.11,-0.3941541637184159,0.11,-0.3902024570797397,0.11,-0.3867913807605294,0.11,-0.381166934123041,0.11,-0.3767458271422533,0.11,-0.3730495184667021,0.11,-0.3699085281442097,0.11,-0.3672028792051602,0.11,-0.364845345026363,0.11,-0.3627709456573791
0.12,-0.4237530981241249,0.12,-0.4181138684752069,0.12,-0.4088379626057163,0.12,-0.4013480206395614,0.12,-0.3944140286934704,0.12,-0.3888099351091743,0.12,-0.3841541642969245,0.12,-0.3802024576501306,0.12,-0.3767913813220758,0.12,-0.3711669346659432,0.12,-0.3667458276704664,0.12,-0.3630495189788151,0.12,-0.3599085286399409,0.12,-0.3572028796847724,0.12,-0.3548453454903855,0.12,-0.3527709461064668
0.13,-0.413753099852022,0.13,-0.4081138694768036,0.13,-0.3988379634593896,0.13,-0.3913480214201653,0.13,-0.3844140294716496,0.13,-0.3788099358801745,0.13,-0.3741541650580906,0.13,-0.3702024583999757,0.13,-0.3667913820597887,0.13,-0.3611669353784142,0.13,-0.3567458283610089,0.13,-0.3530495196464419,0.13,-0.3499085292848352,0.13,-0.3472028803076491,0.13,-0.3448453460921951,0.13,-0.3427709466882484
0.14,-0.4037531021433162,0.14,-0.3981138708023488,0.14,-0.3888379645880229,0.14,-0.3813480224515231,0.14,-0.3744140304976257,0.14,-0.3688099368951664,0.14,-0.3641541660590152,0.14,-0.3602024593851493,0.14,-0.3567913830283316,0.14,-0.3511669363127975,0.14,-0.346745829263164,0.14,-0.3430495205162144,0.14,-0.339908530123194,0.14,-0.3372028811160159,0.14,-0.3348453468721502,0.14,-0.33277094744139
0.15,-0.3937531051803913,0.15,-0.3881138725558224,0.15,-0.3788379660794444,0.15,-0.3713480238134664,0.15,-0.3644140318495305,0.15,-0.3588099382305514,0.15,-0.3541541673743763,0.15,-0.3502024606786402,0.15,-0.3467913842990491,0.15,-0.3411669375373064,0.15,-0.3367458304408939,0.15,-0.3330495216484791,0.15,-0.329908531212217,0.15,-0.3272028821642922,0.15,-0.3248453478821848,0.15,-0.3227709484155845
0.16,-0.3837531092040614,0.16,-0.3781138748742202,0.16,-0.3688379680491909,0.16,-0.3613480256108906,0.16,-0.3544140336297645,0.16,-0.3488099399862717,0.16,-0.3441541691017169,0.16,-0.3402024623756685,0.16,-0.3367913859649273,0.16,-0.3311669391407011,0.16,-0.3267458319770905,0.16,-0.3230495231212052,0.16,-0.3199085326256391,0.16,-0.3172028835225029,0.16,-0.3148453491890264,0.16,-0.3127709496745995
0.17,-0.3737531145319698,0.17,-0.3681138779378391,0.17,-0.3588379706490809,0.17,-0.3513480279814748,0.17,-0.3444140359723615,0.17,-0.3388099422928795,0.17,-0.3341541713682576,0.17,-0.3302024646002651,0.17,-0.3267913881469473,0.17,-0.3211669412382728,0.17,-0.3167458339789936,0.17,-0.3130495250349613,0.17,-0.3099085344583429,0.17,-0.3072028852805867,0.17,-0.3048453508782508,0.17,-0.3027709513001102
0.18,-0.3637531215826598,0.18,-0.3581138819837105,0.18,-0.3488379740783554,0.18,-0.3413480311056666,0.18,-0.3344140390524989,0.18,-0.3288099453206412,0.18,-0.3241541743396379,0.18,-0.3202024675137027,0.18,-0.316791391002242,0.18,-0.3111669439794829,0.18,-0.3067458365850616,0.18,-0.3030495275192047,0.18,-0.2999085368321881,0.18,-0.2972028875538406,0.18,-0.2948453530593915,0.18,-0.2927709533965271
0.19,-0.3537531309069349,0.19,-0.3481138873230357,0.19,-0.338837978598122,0.19,-0.3313480352196027,0.19,-0.3244140430987338,0.19,-0.3188099492912121,0.19,-0.3141541782311172,0.19,-0.3102024713252599,0.19,-0.3067913947344706,0.19,-0.3011669475576709,0.19,-0.2967458399736757,0.19,-0.2930495307402238,0.19,-0.2899085399033373,0.19,-0.2872028904897408,0.19,-0.2848453558723401,0.19,-0.282770956097029
