pch18_gm_gds  (ll=2e-07) X,pch18_gm_gds  (ll=2e-07) Y,pch18_gm_gds  (ll=3e-07) X,pch18_gm_gds  (ll=3e-07) Y,pch18_gm_gds  (ll=4e-07) X,pch18_gm_gds  (ll=4e-07) Y,pch18_gm_gds  (ll=5e-07) X,pch18_gm_gds  (ll=5e-07) Y,pch18_gm_gds  (ll=6e-07) X,pch18_gm_gds  (ll=6e-07) Y,pch18_gm_gds  (ll=7e-07) X,pch18_gm_gds  (ll=7e-07) Y,pch18_gm_gds  (ll=8e-07) X,pch18_gm_gds  (ll=8e-07) Y,pch18_gm_gds  (ll=9e-07) X,pch18_gm_gds  (ll=9e-07) Y,pch18_gm_gds  (ll=1e-06) X,pch18_gm_gds  (ll=1e-06) Y,pch18_gm_gds  (ll=1.2e-06) X,pch18_gm_gds  (ll=1.2e-06) Y,pch18_gm_gds  (ll=1.4e-06) X,pch18_gm_gds  (ll=1.4e-06) Y,pch18_gm_gds  (ll=1.6e-06) X,pch18_gm_gds  (ll=1.6e-06) Y,pch18_gm_gds  (ll=1.8e-06) X,pch18_gm_gds  (ll=1.8e-06) Y,pch18_gm_gds  (ll=2e-06) X,pch18_gm_gds  (ll=2e-06) Y,pch18_gm_gds  (ll=2.2e-06) X,pch18_gm_gds  (ll=2.2e-06) Y,pch18_gm_gds  (ll=2.4e-06) X,pch18_gm_gds  (ll=2.4e-06) Y
0.17,76.69605087625897,0.17,150.8283479960196,0.17,174.0738040972718,0.17,187.6431333271603,0.17,204.4570494887943,0.17,217.0132235727075,0.17,226.6977425331507,0.17,234.3674517958914,0.17,240.5770199326227,0.17,249.9899803654995,0.17,289.1547163069064,0.17,327.7820218591279,0.17,365.8812933471796,0.17,403.4620668555414,0.17,440.5339172286666,0.17,477.1063836634909
0.18,76.61152784730432,0.18,150.5822906871517,0.18,173.7579447920572,0.18,187.2843312386083,0.18,204.0458215188507,0.18,216.5614787687387,0.18,226.2139282514138,0.18,233.8577067484707,0.18,240.0459123614741,0.18,249.4258019208409,0.18,288.4905482880288,0.18,327.0189839161224,0.18,365.0204604828745,0.18,402.5044841585976,0.18,439.4806075212059,0.18,475.9583516158924
0.19,76.52177684093363,0.19,150.3136084029606,0.19,173.4107742039024,0.19,186.888823156911,0.19,203.5926944080726,0.19,216.0640128163874,0.19,225.6814952722237,0.19,233.2970877868529,0.19,239.4621349380171,0.19,248.8062898303584,0.19,287.7619539229445,0.19,326.1825552342668,0.19,364.0773695641618,0.19,401.4558536997993,0.19,438.3275253198427,0.19,474.7018788765675
0.2,76.42604469349553,0.2,150.0190284437879,0.2,173.0278217576007,0.2,186.4514482030179,0.2,203.0921547900845,0.2,215.5151401907678,0.2,225.0946872456713,0.2,232.6798257630368,0.2,238.8199392138094,0.2,248.1257861947633,0.2,286.9627354380413,0.2,325.266016888192,0.2,363.0447873229749,0.2,400.3084272747253,0.2,437.0664021476638,0.2,473.328168274103
0.21,76.32348600362249,0.21,149.6949192465777,0.21,172.604184348932,0.21,185.966602157362,0.21,202.538356966729,0.21,214.9089635109751,0.21,224.4476536139773,0.21,232.0001674380834,0.21,238.1136938177547,0.21,247.3789262398956,0.21,286.0872065679827,0.21,324.2633802175873,0.21,361.9164264192574,0.21,399.0556130592008,0.21,435.6903298263006,0.21,471.8299794911209
0.2200000000000001,76.2131586081656,0.2200000000000001,149.3373004013006,0.2200000000000001,172.1345736726902,0.2200000000000001,185.4283227996275,0.2200000000000001,201.9252766408219,0.2200000000000001,214.2395891212921,0.2200000000000001,223.7347197443138,0.2200000000000001,231.252693397453,0.2200000000000001,237.3382442462751,0.2200000000000001,246.5610675014148,0.2200000000000001,285.1307414989349,0.2200000000000001,323.1700537736018,0.2200000000000001,360.6877279733476,0.2200000000000001,397.692870936575,0.2200000000000001,434.194765598643,0.2200000000000001,470.2027408726519
0.2300000000000001,76.09402173575904,0.2300000000000001,148.9418767752228,0.2300000000000001,171.6134088292433,0.2300000000000001,184.8304380848773,0.2300000000000001,201.2469489057489,0.2300000000000001,213.501444564673,0.2300000000000001,222.9507734724679,0.2300000000000001,230.432764424089,0.2300000000000001,236.4894112109652,0.2300000000000001,245.6688734510856,0.2300000000000001,284.0905107153141,0.2300000000000001,321.9837283558325,0.2300000000000001,359.356892167086,0.2300000000000001,396.2188847297238,0.2300000000000001,432.5788419096559,0.2300000000000001,468.4459926204401
0.2400000000000001,75.96493819210929,0.2400000000000001,148.5041059652026,0.2400000000000001,171.034969287417,0.2400000000000001,184.1667962843754,0.2400000000000001,200.4978122299243,0.2400000000000001,212.6897210659442,0.2400000000000001,222.0917917960238,0.2400000000000001,229.5371202230102,0.2400000000000001,235.5646513053998,0.2400000000000001,244.7010746033674,0.2400000000000001,282.9664274463588,0.2400000000000001,320.7055038492737,0.2400000000000001,357.9261801438922,0.2400000000000001,394.6370337019198,0.2400000000000001,430.8470020378969,0.2400000000000001,466.565181146077
0.2500000000000001,75.82468229185643,0.2500000000000001,148.0193098557891,0.2500000000000001,170.3936247219143,0.2500000000000001,183.4315979720836,0.2500000000000001,199.6731788609264,0.2500000000000001,211.8009606386127,0.2500000000000001,221.1555258273939,0.2500000000000001,228.5646467766447,0.2500000000000001,234.5638943126184,0.2500000000000001,243.6594175161,0.2500000000000001,281.7623103447007,0.2500000000000001,319.3412578380345,0.2500000000000001,356.4034808995498,0.2500000000000001,392.9571502732815,0.2500000000000001,429.0109414377893,0.2500000000000001,464.5737771035189
0.2600000000000001,75.67195562114534,0.2600000000000001,147.4828419275437,0.2600000000000001,169.6841576600673,0.2600000000000001,182.6198470842619,0.2600000000000001,198.7698454233443,0.2600000000000001,210.8337968510106,0.2600000000000001,220.1423478949514,0.2600000000000001,227.5173110851806,0.2600000000000001,233.4905509809986,0.2600000000000001,242.5497865517831,0.2600000000000001,280.4872333427784,0.2600000000000001,317.9032119172304,0.2600000000000001,354.8040833159106,0.2600000000000001,391.1974878340774,0.2600000000000001,427.0917620726175,0.2600000000000001,462.4956075761108
