nch18_gm_gds (ll=2e-07) X,nch18_gm_gds (ll=2e-07) Y,nch18_gm_gds (ll=3e-07) X,nch18_gm_gds (ll=3e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.15,71.7817587153198,0.15,166.3818899628704,0.15,204.4295494051844,0.15,225.5711458769588,0.15,247.3674614821344,0.15,265.5096542732643,0.15,280.8787492848848,0.15,294.0633156230739,0.15,305.4953901573138,0.15,324.3295671122617,0.15,350.006156988514,0.15,372.6931057123383,0.15,392.8610566296615,0.15,410.8961604228482,0.15,427.1136665554264,0.15,441.7716705467057
0.16,71.71591033576438,0.16,166.1544131180966,0.16,204.1101844650209,0.16,225.1916477447393,0.16,246.9197984568183,0.16,265.0005762074462,0.16,280.3140892118367,0.16,293.4481941217255,0.16,304.8342982222983,0.16,323.5878911273423,0.16,349.1917846348343,0.16,371.8126612005391,0.16,391.920654773238,0.16,409.9013032558369,0.16,426.0692529873642,0.16,440.6820455503746
0.17,71.64512310433257,0.17,165.9043747056526,0.17,203.7575840299077,0.17,224.7719559289636,0.17,246.424489337113,0.17,264.4372647249026,0.17,279.6893554326041,0.17,292.7678093900038,0.17,304.1033181293253,0.17,322.7684809335482,0.17,348.2955949047765,0.17,370.8468289521495,0.17,390.8917890421778,0.17,408.8153496718401,0.17,424.9314971829392,0.17,439.4971652593614
0.18,71.56862950883318,0.18,165.6284609780343,0.18,203.3670593558746,0.18,224.3065919719321,0.18,245.875352411871,0.18,263.8129926937145,0.18,278.9974026563676,0.18,292.0147016313765,0.18,303.2947599232644,0.18,321.8633795547394,0.18,347.3101224782617,0.18,369.7886489394613,0.18,389.7680216196807,0.18,407.6323970527424,0.18,423.6950391760267,0.18,438.2122145502051
0.19,71.48555613614324,0.19,165.322953042329,0.19,202.9334116992955,0.19,223.7895479584253,0.19,245.2657075647837,0.19,263.1205933566261,0.19,278.2307246079822,0.19,291.1811427984657,0.19,302.4007678985707,0.19,320.8646864065257,0.19,346.2282699256146,0.19,368.6318271382321,0.19,388.5438671006923,0.19,406.3477702708084,0.19,422.3560103192396,0.19,436.8241222859293
0.2,71.39491388656629,0.2,164.9837073467323,0.2,202.4509323808309,0.2,223.2143152511699,0.2,244.588448211218,0.2,262.3525789899548,0.2,277.3816210952871,0.2,290.2593525130726,0.2,301.4135849897567,0.2,319.7649155114535,0.2,345.0437511682864,0.2,367.3712588980778,0.2,387.2153908287883,0.2,404.9586903481481,0.2,420.9127679052635,0.2,435.3323578248204
0.21,71.29558916625928,0.21,164.6061474020914,0.21,201.9134270085963,0.21,222.5739496744694,0.21,243.8361643686293,0.21,261.5013249613782,0.21,276.4424440291149,0.21,289.2418056299811,0.21,300.325920579136,0.21,318.5574779511012,0.21,343.751671441292,0.21,366.0036998165102,0.21,385.780964520314,0.21,403.4651090731619,0.21,419.3668034214768,0.21,433.7399079573341
0.2200000000000001,71.18633697740293,0.2200000000000001,164.1852722469086,0.2200000000000001,201.3142732208334,0.2200000000000001,221.8611854107813,0.2200000000000001,243.001331697189,0.2200000000000001,260.5593359889402,0.2200000000000001,275.4059405928949,0.2200000000000001,288.1216505252222,0.2200000000000001,299.1314412357927,0.2200000000000001,317.2373078487003,0.2200000000000001,342.349260746494,0.2200000000000001,364.5285986979909,0.2200000000000001,384.2421912373333,0.2200000000000001,401.8707190291055,0.2200000000000001,417.7238312319494,0.2200000000000001,432.0544383855466
0.2300000000000001,71.06577714117724,0.2300000000000001,163.715688581298,0.2300000000000001,200.6465231741928,0.2300000000000001,221.0686117470252,0.2300000000000001,242.0765827202659,0.2300000000000001,259.5196119706067,0.2300000000000001,274.2657112881532,0.2300000000000001,286.8932555019975,0.2300000000000001,297.825400876721,0.2300000000000001,315.8016452250847,0.2300000000000001,340.8367693727159,0.2300000000000001,362.9490963750732,0.2300000000000001,382.6049986577051,0.2300000000000001,400.1841331590457,0.2300000000000001,415.9950470275306,0.2300000000000001,430.2896243758606
0.2400000000000001,70.93239525593087,0.2400000000000001,163.1916749528371,0.2400000000000001,199.9030635990901,0.2400000000000001,220.1889279616248,0.2400000000000001,241.0550763972956,0.2400000000000001,258.3761291451102,0.2400000000000001,273.0167971242655,0.2400000000000001,285.5528952164689,0.2400000000000001,296.405419184015,0.2400000000000001,314.2509769528968,0.2400000000000001,339.2185185486804,0.2400000000000001,361.2731754238643,0.2400000000000001,380.8808777596255,0.2400000000000001,398.4202032245153,0.2400000000000001,414.1985178355556,0.2400000000000001,428.4666050332721
0.2500000000000001,70.78455039239682,0.2500000000000001,162.6072876631347,0.2500000000000001,199.0768470836366,0.2500000000000001,219.21529131738,0.2500000000000001,239.9309796861217,0.2500000000000001,257.124447155259,0.2500000000000001,271.6564020945733,0.2500000000000001,284.0995777989945,0.2500000000000001,294.8724027305519,0.2500000000000001,312.5901163404517,0.2500000000000001,337.5040742942647,0.2500000000000001,359.5149167181298,0.2500000000000001,379.0882110956592,0.2500000000000001,396.6014099588577,0.2500000000000001,412.3606254515789,0.2500000000000001,426.6154725758926
0.2600000000000001,70.62049191535915,0.2600000000000001,161.9565188200084,0.2600000000000001,198.1612075891686,0.2600000000000001,218.1417702167278,0.2600000000000001,238.7000682231642,0.2600000000000001,255.7624420311997,0.2600000000000001,270.1847422644999,0.2600000000000001,282.5359942077723,0.2600000000000001,293.2315798420573,0.2600000000000001,310.8293703203373,0.2600000000000001,335.7094758989923,0.2600000000000001,357.6957773788448,0.2600000000000001,377.253589046763,0.2600000000000001,394.759207878862,0.2600000000000001,410.5174315766048,0.2600000000000001,424.7766509616793
